Origin,Month,origin_temp_c,origin_dewpt_c,origin_slp_hpa,origin_wind_ms,origin_precip_mm
BFL,3,12.2,5.6,1016.8,2.1,0.0
BFL,4,15.6,6.1,1015.6,2.6,0.0
BFL,5,21.1,7.2,1012.5,2.6,0.0
BFL,6,25.6,8.9,1010.75,2.6,0.0
BFL,7,30.0,10.6,1011.5,2.6,0.0
BFL,8,27.8,11.1,1012.5,2.1,0.0
BFL,9,23.9,11.1,1011.5,2.1,0.0
BFL,10,20.6,8.3,1014.4,2.1,0.0
BFL,11,12.8,2.8,1018.3,2.1,0.0
BFL,12,10.6,6.1,1021.1,1.5,0.0
BGM,1,-1.1,-4.4,1015.9,3.6,0.0
BGM,2,-1.7,-6.1,1015.4,3.6,0.0
BGM,3,0.6,-4.4,1015.7,4.1,0.0
BGM,4,7.8,1.7,1015.7,3.1,0.0
BGM,5,13.3,6.7,1016.0,3.1,0.0
BGM,6,18.3,13.3,1014.1,3.1,0.0
BGM,7,21.1,17.2,1014.9,2.6,0.0
BGM,8,18.05,15.6,1015.0,2.6,0.0
BGM,9,17.8,11.7,1018.6,2.6,0.0
BGM,10,12.8,5.6,1017.4,3.1,0.0
BGM,11,4.4,-1.7,1017.3,4.1,0.0
BGM,12,0.6,-3.9,1018.2,3.6,0.0
BGR,1,,,,,
BGR,2,,,,,
BGR,3,,,,,
BGR,4,,,,,
BGR,5,,,,,
BGR,6,,,,,
BGR,7,,,,,
BGR,8,,,,,
BGR,9,,,,,
BGR,10,,,,,
BGR,11,,,,,
BGR,12,,,,,
BHM,1,8.3,-0.6,1022.1,3.1,0.0
BHM,2,13.9,3.9,1020.0,3.6,0.0
BHM,3,16.7,6.1,1017.2,3.6,0.0
BHM,4,19.4,11.7,1018.8,3.6,0.0
BHM,5,23.3,17.2,1015.2,3.1,0.0
BHM,6,26.7,19.4,1015.1,2.6,0.0
BHM,7,28.3,21.7,1017.2,2.6,0.0
BHM,8,28.9,20.6,1016.3,2.1,0.0
